    PID TTY      STAT   TIME COMMAND
   1081 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   1098 ?        Sl     0:00 xfsettingsd --display :0.0 --sm-client-id 2037fa523-f860-46a7-a854-1c35a3e5f5d9
   1101 ?        Ssl    0:00 /usr/libexec/upowerd
   1107 ?        Sl     0:01 xfce4-panel --display :0.0 --sm-client-id 2d4e196f9-2d73-4e08-bf8c-11e8374c9e94
   1111 ?        Rl     0:17 Thunar --sm-client-id 296b0c164-a0db-4a3c-bb9c-2f63440d5c38 --daemon
   1116 ?        Sl     0:02 xfdesktop --display :0.0 --sm-client-id 2749a327e-a6e1-460b-b696-dbc6bd97d395
   1117 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 27262983 whiskermenu Whisker Menu Show a menu to easily access installed applications
   1122 ?        Sl     0:09 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 27262984 cpugraph CPU Graph Graphical representation of the CPU load
   1123 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 27262985 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
   1124 ?        Sl     0:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 27262986 genmon Generic Monitor Show output of a command.
   1125 ?        Sl     0:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 27262987 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
   1126 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 27262988 notification-plugin Notification Plugin Notification plugin for the Xfce panel
   1127 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 27262989 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
   1128 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 27262990 actions Action Buttons Log out, lock or other system actions
   1152 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
   1178 ?        Sl     0:00 xfce4-power-manager --restart --sm-client-id 22e096a2f-fa05-4d7b-ad5b-9b78b5f14d5e
   1180 ?        SNl    0:00 /usr/lib/x86_64-linux-gnu/tumbler-1/tumblerd
   1185 ?        Sl     0:00 nm-applet
   1186 ?        Sl     0:00 light-locker
   1187 ?        Sl     0:00 xiccd
   1188 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
   1193 ?        Sl     0:00 /usr/bin/python3 /usr/bin/blueman-applet
   1199 ?        Ssl    0:00 /usr/libexec/colord
   1200 ?        Ssl    0:00 /usr/libexec/dconf-service
   1217 ?        Ssl    0:00 xcape -e Super_L Control_L Escape
   1218 ?        Sl     0:00 /usr/libexec/geoclue-2.0/demos/agent
   1266 ?        Ssl    0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   1269 ?        Ssl    0:00 /usr/libexec/udisks2/udisksd
   1287 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   1291 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   1295 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   1299 ?        Ssl    0:00 /usr/libexec/gvfs-afc-volume-monitor
   1308 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.16 /org/gtk/gvfs/exec_spaw/0
   1314 ?        Ssl    0:00 /usr/libexec/gvfsd-metadata
   1327 ?        Ss     0:00 /usr/libexec/bluetooth/obexd
   1448 ?        Ss     0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
   2220 ?        Ss     0:00 sshd: krazhevskiy13 [priv]
   2230 ?        S      0:00 sshd: krazhevskiy13@pts/1
   2231 pts/1    Ss     0:04 -zsh
   2798 pts/1    T      0:00 top
   3275 ?        I      0:00 [kworker/1:2-ata_sff]
   4767 ?        I      0:00 [kworker/1:0-events]
   6143 ?        I      0:00 [kworker/0:0]
   6219 ?        I      0:00 [kworker/1:1-ata_sff]
   6718 ?        I      0:00 [kworker/u4:1-events_unbound]
   7004 pts/1    S+     0:00 script -ttimelog7krazhevskiy13u task7krazhevskiy13u
   7005 pts/0    Ss     0:00 zsh -i
   7307 pts/0    R+     0:00 ps -ax
